id|name|bar_color|font_color|fragrance_count|name_de|name_es|name_fr|name_cs|name_it|name_ru|name_pl|name_pt|name_el|name_zh|name_ja|name_nl|name_sr|name_ro|name_ar|name_uk|name_mn|name_ko|name_tr|name_sv|name_he|name_hu
a4|amber|#BC4D10|#FFFFFF|49189|ambriert|ámbar|ambre|jantar|ambra|амбровый|ambrowy|âmbar|κεχριμπάρι|琥珀味|アンバー|amber|amber|ambrat|العنبر|амбра|хув|앰버|amber|ambra|ענבר|ámbrás
a5|animalic|#8E4B13|#FFFFFF|17560|animalisch|animálico|animal|živočišný|animalico|животный|zwierzęcy|animálico|ζωώδες|动物类气味|アニマリック|dierlijk|životinjske note|animalic|حيواني|анімалістичні ноти|aмьтанлаг|애니멀릭|animalik|animalisk|חייתי|animális
a8|aromatic|#37A089|#000000|56403|aromatisch|aromático|aromatique|aromatický|aromatico|фужерный|aromatyczny|aromático|βοτανικό|芳香味|アロマティック|aromatisch|aromatični|aromatic|أروماتك|ароматичні|aнхилуун|아로마틱|aromatik|aromatisk|ארומטי|aromás
a11|balsamic|#AD8359|#000000|19178|balsamisch|balsámico|balsamique/baumé|balsamico|balsamico|бальзамический|balsamiczny|balsâmico|βαλσαμικό|香脂气味|バルサミック|balsemachtig|balzamičan|balsamic|بلسمي|бальзамічні|бальзам|발사믹|balsamik|balsamisk|בלסמי|balzsamos
a16|cacao|#9A3A0D|#FFFFFF|2189|Kakao|cacao|cacao|kakao|cacao|какао|kakaowy|cacau|κακάο|可可味|カカオ|cocoa|kakao|cacao|الكاكاو|какао|какао|카카오|kakao|kakao|קקאו|kakaó
a19|caramel|#DDA356|#000000|4252|Karamell|caramelo|caramel|karamel|caramello|карамельный|karmelowy|caramelo|καραμέλα|焦糖味|キャラメル|karamel|karamela|caramel|الكراميل|карамель|карамель|카라멜|karamel|karamell|קרמל|karamell
a22|chocolate|#603000|#FFFFFF|1677|Schokolade|chocolate|chocolat|čokoláda|cioccolato|шоколад|czekolada|Chocolate|σοκολάτα|巧克力|チョコレート|chocola|čokolada|ciocolata|شوكولاتة|шоколад|шоколад|초콜릿|çikolata|choklad|שוקולד|csokoládé
a23|cinnamon|#D2691E|#FFFFFF|4927|Zimt|canela|cannelle|skořice|cannella|коричный|cynamonowy|canela|κανέλα|肉桂味|シナモン|kaneel|cimet|scortisoara|القرفة|кориця|шанц|시나몬|tarçın|kanel|קינמון|fahéj
a24|citrus|#F9FF52|#000000|61866|zitrisch|cítrico|agrume|citrus|agrumato|цитрусовый|cytrusowy|cítrico|κιτρώδες|柑橘气味|シトラス|citrusvruchten|citrus|citrice|الحمضيات|цитрус|цитрус|시트러스|narenciye|citrus|הדרי|citrusos
a30|earthy|#544838|#FFFFFF|22697|erdig|terrosos|terreux|zemitý|terroso|землистый|ziemisty|terroso|γήινο|泥土气息|アーシー|aarde|zemljane note|pamantiu|ترابي|земляний|хөрслөг|얼씨|toprak|jordig|אדמתי|földes
a31|floral|#FF5F8D|#000000|48565|blumig|florales|floral|květinový|floreale|цветочный|kwiatowy|floral|λουλουδάτο|花香味|フローラル|bloemig|cveće|florale|زهري|квітковий|цэцэглэг|플로럴|çiçeksi|blommig|פרחוני|virágos
a33|fresh|#9BE5ED|#000000|35343|frisch|fresco|frais|svěží|fresco|свежий|świeży|fresco|φρέσκο|清新|フレッシュ|fris|sveže|proaspat|منعش|свіжий|цэнгэг|프레쉬|taze|fräsch|מרענן|friss
a34|fresh spicy|#83C928|#000000|49308|frisch-würzig|fresco especiado|épicé frais|svěží pikantní|speziato fresco|свежий пряный|świeży korzenny|fresco especiado|φρέσκο πικάντικο|新鲜香辛料味|フレッシュスパイシー|fris kruidig|sveže začinsko|proaspat-condimentat|تابلي منعش|свіжо-пряний|сэргэг амтлагчит|프레쉬 스파이시|taze baharatlı|friskt kryddig|תבליני טרי|friss fűszeres
a35|fruity|#FC4B29|#000000|45028|fruchtig|afrutados|fruité|ovocný|fruttato|фруктовый|owocowy|frutado|φρουτώδες|水果味|フルーティ|fruitig|voćne note|fructat|فاكهي|фруктовий|жимслэг|프루티|meyvemsi|fruktig|פירותי|gyümölcsös
a38|green|#0E8C1D|#FFFFFF|30212|grün|verde|vert|zelený|verde|зеленый|zielony|verde|πράσινο|绿色气息|グリーン|groen|zelene note|verde|عشبي|зелений|ногоон|그린|yeşil|grön|ירוק|zöld
a40|honey|#FAA907|#000000|3685|Honig|amielado|miel|med|mielato|медовый|miodowy|mel|μέλι|蜂蜜味|ハニー|honing|med|miere|العسل|мед|зөгийн бал|꿀|bal|honung|דבש|méz
a45|lavender|#E7CEEC|#000000|9477|Lavendel|lavanda|Lavande|levandule|lavanda|лаванда|lawenda|Lavanda|λεβάντα|薰衣草|ラベンダー|lavendel|lavanda|lavanda|الخزامي|лаванда|лаванда|라벤더|lavanta|lavendel|לבנדר|levendula
a46|leather|#78483A|#FFFFFF|11960|Leder|cuero|cuir|kůže|cuoiato|кожаный|skórzany|couro|δερμάτινα είδη|皮革味|レザー|leer|koža|piele|الجلود|шкіра|савхи|가죽|deri|läder|עור|bőr
a49|metallic|#97B0B7|#000000|2789|metallisch|metálico|métallique|kovový|metallico|металлический|metaliczny|metálico|μεταλλικό|金属味|メタリック|metaalachtig|metalne note|metalic|معدني|металевий|төмөрлөг|메탈릭|metalik|metallisk|מתכתי|fémes
a53|musky|#E7D8EA|#000000|45680|moschusartig|almizclado|musqué|pižmový|muschiato|мускусный|piżmowy|almíscarado|άρωμα μόσχου|麝香味|ムスキー|muskachtig|mošusne note|mosc|مسكي|мускусний|заар|머스키|misk|myskig|מושק|pézsmás
a54|nutty|#B4955F|#000000|3878|nussig|nueces|fruits à coque|ořechový|frutta secca|ореховый|orzechowy|amendoado|ξηροί καρποί|坚果味|ナッティ|nootachtig|orasi|nuci|بنكهه الجوز|горіховий|самарлаг|너티|fındıksı|nötig|אגוזי|diós
a59|patchouli|#63652E|#FFFFFF|18050|Patschuli|pachulí|patchouli|pačuli|patchouli|пачулиевый|paczulowy|patchouli|πατσουλί|广藿香味|パチョリ|patchoeli|pačuli|paciuli|الباتشولي|пачулі|патчули|패출리|paçuli|patchouli|פצ'ולי|pacsuli
a62|powdery|#EEDDCC|#000000|66564|blumig|florales|floral|pudrový|floreale|цветочный|kwiatowy|floral|λουλουδάτο|粉末类气味|フローラル|poederig|cveće|florale|ناعم|квітковий|энгэсэг|플로럴|çiçeksi|blommig|פרחוני|virágos
a63|rose|#FE016B|#FFFFFF|27539|Rose|rosas|rose|dřevitý|rosa|розовый|różany|rosa|ρόδο|木质味|ローズ|roos|ruža|trandafir|خشبي|троянда|модлог|장미|gül|ros|ורד|rózsa
a72|soft spicy|#E27752|#000000|13767|weich würzig|especiado suave|épicé doux|jemně pikantní|speziato leggero|мягкий пряный|lekko korzenny|picante suave|απαλό πικάντικο|柔和香辛料味|ソフトスパイシー|zacht kruidig|meke začinske note|fin condimentat|توابل ناعم|ніжно-пряний|хөнгөн амтлагчит|소프트 스파이시|yumuşak baharatlı|mjukt kryddig|תבליני רך|lágy fűszeres
a75|sweet|#EE363B|#FFFFFF|62858|süß|dulce|sucré|sladký|dolce|сладкий|słodki|doce|γλυκό|甜味|スイート|zoet|slatke note|dulce|حلو|солодкі ноти|чихэрлэг|스위트|tatlı|söt|מתוק|édes
a78|tobacco|#AD7727|#FFFFFF|4931|Tabak|tabaco|tabac|tabák|tabacco|табачный|tytoniowy|tabaco|καπνός πίπας|烟草味|タバコ|tabak|duvan|tabac|التبغ|тютюн|дүнсэн тамхи|토바코|tütün|tobak|טבק|dohány
a81|vanilla|#FFFEC0|#000000|37543|Vanille|avainillado|vanille|vanilka|vanigliato|ванильный|waniliowy|baunilha|βανίλια|香草味|バニラ|vanille|vanila|vanilie|الفانيلا|ваніль|ваниль|바닐라|vanilya|vanilj|וניל|vanília
a84|violet|#9C1DFF|#FFFFFF|9056|Veilchen|violeta|violette|fialkový|violetta|фиалковый|fiołkowy|violeta|βιολέτα|紫罗兰(香菫菜)味|バイオレット|viooltjes|ljubičica|violeta|البنفسج|фіалковий|нил цэцэг|바이올렛|menekşe|viol|סיגלית|ibolya
a86|warm spicy|#CC3300|#FFFFFF|49031|warm würzig|cálido especiado|épicé chaud|teplý pikantní|speziato caldo|теплый пряный|ciepły korzenny|especiado quente|θερμό πικάντικο|热香辛料味|ウォームスパイシー|warm kruidig|vreli začini|cald-condimentat|تابلي دافئ|теплий пряний|дулаан амтлагчит|웜 스파이시|sıcak baharatlı|varmt kryddig|תבליני חמים|meleg fűszeres
a89|white floral|#EDF2FB|#000000|42228|weiße Blüten|floral blanco|fleurs blanches|bílý květinový|floreale bianco|белые цветы|białe kwiaty|floral branco|λευκό λουλουδάτο|白色花系味|ホワイトフローラル|witte bloemen|belo cveće|flori albe|الزهور البيضاء|білоквітковий|цагаан цэцэгс|화이트 플로럴|beyaz çiçeksi|vitblommig|פרחוני לבן|fehér virágos
a91|woody|#774414|#FFFFFF|83698|holzig|amaderado|boisé|dřevitý|legnoso|древесный|drzewny|amadeirado|ξυλώδες|木质味|ウッディ|houtachtig|drvene note|lemnos|خشبي|дерево|модлог|우디|odunsu|träig|עצי|fás
